"Sex","Age","Marital.status","Number.of.children","Years.of.education","Managerial.position","Work.hours","Full.time","Income","BWAS1","BWAS2","BWAS3","BWAS4","BWAS5","BWAS6","BWAS7","UWES1","UWES2","UWES3","UWES4","UWES5","UWES6","UWES7","UWES8","UWES9","MBI1","MBI2","MBI3","MBI4","MBI5","MBI6","MBI7","MBI8","MBI9","MBI10","MBI11","MBI12","MBI13","MBI14","MBI15","MBI16","PSS1","PSS2","PSS3","PSS4","PSS5","PSS6","PSS7","PSS8","PSS9","PSS10"
1,40,0,3,NA,"Non managarial",24,1,NA,1,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,2,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,4,2,4,4,3
1,47,1,3,20,"Non managarial",NA,1,NA,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,NA,4,NA,1,2,3,NA,NA,7,4,1,4,3,2,3,4,4,2,5,4,2,2
1,32,0,2,19,"Non managarial",40,1,35000,4,3,4,3,3,1,2,5,5,6,6,4,5,6,5,5,6,7,6,6,6,6,7,1,1,7,7,6,1,1,1,7,4,3,4,3,4,3,2,3,3,1
1,37,1,3,18,"Non managarial",40,1,50000,1,1,2,2,1,4,1,5,5,6,6,5,5,5,5,0,5,6,6,1,7,1,7,1,5,7,7,7,7,1,1,7,3,2,3,2,4,2,1,4,4,3
1,39,1,3,17,"Non managarial",40,1,31800,NA,NA,NA,NA,NA,NA,NA,3,3,5,0,5,3,6,5,0,5,6,4,3,5,4,5,1,1,7,5,5,7,4,5,7,4,3,5,3,3,4,3,2,3,4
1,33,1,2,18,"Middle managarial",40,1,35000,3,2,1,2,2,1,3,3,4,5,1,0,3,1,3,3,6,7,7,6,6,7,5,5,5,5,4,1,7,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,55,1,3,19,"Non managarial",50,1,NA,1,4,1,3,1,3,3,3,3,6,6,5,NA,6,5,6,2,4,4,4,2,3,NA,1,1,6,NA,NA,NA,NA,1,6,3,2,3,3,4,3,3,4,3,3
1,28,1,1,22,"Non managarial",84,1,18840,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,4,5,5,6,6,5,7,6,5,7,4,4,3,1,3,3,2,7,4,2,5,4,4,4,3,3,4,2,3,4,3
1,29,1,1,17,"Non managarial",42,1,30000,NA,NA,NA,NA,NA,NA,NA,3,4,6,4,1,2,3,6,0,4,7,6,1,6,7,3,2,4,7,6,2,7,5,5,3,4,2,3,5,5,4,3,3,3,3
1,44,1,NA,21,"Non managarial",50,1,40000,2,3,1,2,1,2,2,5,NA,6,6,5,5,5,NA,1,2,4,3,3,7,1,NA,1,2,7,6,6,NA,2,1,6,3,3,3,3,3,2,4,4,2,3
1,54,1,NA,19,"Non managarial",40,1,NA,1,4,1,2,1,3,2,4,4,6,6,6,6,6,5,3,2,4,3,4,2,3,NA,1,2,6,NA,NA,NA,2,1,6,2,1,2,4,4,2,4,4,1,1
1,43,1,3,19,"Lower managarial",40,1,80000,3,3,2,1,2,1,1,4,4,3,1,3,1,1,1,2,2,3,1,5,4,4,1,1,1,4,3,2,5,6,5,4,1,2,3,4,4,4,3,4,2,3
1,33,1,3,18,"Non managarial",40,1,32000,2,4,2,3,1,2,1,3,3,3,1,4,4,4,5,5,4,5,5,4,6,3,4,1,3,6,6,4,7,NA,NA,7,4,2,3,3,4,2,4,4,2,2
1,26,1,1,18,NA,40,1,NA,3,2,1,1,1,1,1,5,6,6,6,5,6,6,6,3,1,2,2,1,6,1,NA,1,1,6,7,NA,NA,1,1,6,3,2,4,4,4,3,4,4,3,3
1,63,1,3,16,"High managarial",42,1,NA,1,2,1,1,2,3,3,3,3,5,NA,5,NA,6,4,3,2,3,1,2,4,1,4,1,NA,3,3,2,3,1,1,4,2,1,2,5,4,2,1,3,1,1
1,39,1,3,26,"Non managarial",48,0,NA,1,5,1,4,4,5,5,4,4,3,3,NA,3,3,3,3,5,4,5,5,5,4,NA,4,4,5,5,4,4,5,5,3,4,4,3,3,3,3,3,3,3,4
